NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
,,,,지,(NG),,,,
2019,118,조준수,"아산성내클린
에너지","충남  아산시  영인면  성내
리  174-2,  175","연료전지
(NG)",19.8,2019-10-30,2021-10-31,
2019,119,김태호,"미래그린에너
지","충남  당진시  송산면  동곡
리  377(송산2일반산업단지 
內)","연료전지
(NG)",19.8,2019-10-30,2021-12-31,
2019,120,오태근,굿모닝에너지,"강원도  영월군  영월읍  정
양리  540,  541-1,  541-2, 
566,  567,  568,  569","연료전지
(LNG)",9.9,2019-10-30,2020-11-30,
2019,121,강우순,마차퓨어셀,"강원도  영월군  영월읍  정
양리  540,  541-1,  541-2, 
566,  567,  568,  569","연료전지
(LNG)",9.9,2019-10-30,2020-11-30,
2019,122,노승일,앤피피퓨어셀,"강원도  영월군  영월읍  정
양리  540,  541-1,  541-2, 
566,  567,  568,  569","연료전지
(LNG)",9.9,2019-10-30,2020-11-30,
2019,123,이승협,영월퓨어셀,"강원도  영월군  영월읍  정
양리  540,  541-1,  541-2, 
566,  567,  568,  569","연료전지
(LNG)",9.9,2019-10-30,2020-11-30,
2019,124,천병권,코엠연료전지,"강원도  영월군  영월읍  정
양리  540,  541-1,  541-2, 
566,  567,  568,  569","연료전지
(LNG)",9.9,2019-10-30,2020-11-30,
2019,125,조우진,우정에너지,강원도  횡성군  횡성읍  조,연료전지,19.8,2019-10-30,2023-12-31,
