NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
,,,,"5.45"",
GW637°09'42.84"",125°57'5
3.28"",
GW737°10'28.28"",125°57'1
5.07"",
GW837°10'59.97,""125°56'2
4.28"",
GW937°11'24.78"",125°55'1
6.37"",
GW1037°12'40.76"",125°55'
41.09"",
GW1137°13'29.04"",125°56'
54.42"")",,,,,
2020,70,박일준,한국동서발전,"강원도  양양군  현남면  상
월천리  산1-1,현북면  어성
전리  산2번지  일원",풍력,8.4,2020-09-22,2022-11-30,
2020,71,이슬기,에스지이1호,"전남  신안군  신의면  상태
동리  산  150-1  일원",태양광,5.5,2020-09-22,2026-12-31,
2020,72,권구성,에스지이2호,"전남  신안군  신의면  하태
동리  151-1  일원",태양광,4.5,2020-09-22,2026-12-31,
2020,73,한광현,신덕송계태양 경북  안동시  임하면  신덕,,태양광,17.99,2020-09-22,2023-06-30,
