NO,"대표
자","상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
,,지,"73,  산74,  산97,  산99,  산101, 
산110,  산111,  산114-1,    산
145-1,  산143,  산145-2",,,,,
41,백정수,천지에너지,"전남  곡성군  죽곡면  신풍리  산
5,  산1-1,  산1-3,  산69,  산21, 
산22,  산23  봉정리  산152,    산
153-1,  산166,  산185,  산186, 
산189,  산195",풍력,60,2018-05-28,2020-12-31,
42,김두리,영덕지품,"경북  영덕군  지품면  옥류리  산
144번지(사유지)",풍력,18,2018-05-28,2020-12-31,
43,김영섭,LG  CNS,"경기도  남양주시  다산동  5583 
일원","연료전지
(NG)",39.6,2018-05-28,2020-11-30,
"2015-
75",홍영규,엔이티,"충북  청주시  흥덕구  옥산면  호
죽리  907외908","SRF(비성
형  고형연
료제품)",8,2018-06-05,2021-06-30,"사업준비기간연장,대표
자변경"
"2015-
167",장찬현,안동풍력발전,"경북  안동시  길안면  백자리  산
97번지  일원",풍력,18.4,2018-06-05,2021-06-30,사업준비기간연장
"2016-
19",장성언,"유진바이오에
너지",인천시  서구  오류동  1537번지,"신재생에
너지
(BIO-SRF)",9.9,2018-06-05,2021-09-30,"대표자변경,  준비기간
연장,"
"2016-
99",김국희,웅진풍력발전,"강원도  정선군  사북읍  사북리 
산160-3번지  일원",풍력,60,2018-06-18,2021-06-30,사업준비기간연장
"2017-
70",허화도,"육백산풍력발
전","강원도  삼척시  도계읍  황조리 
산159임  일원",풍력,30,2018-06-18,2021-06-30,"사업준비기간연장,대표
자변경"
2014-,윤중현,포스파워,강원도  삼척시  적노동  일원,석탄화력,2100,2018-06-29,2022-06-30,주식취득  인가
