NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
,,,,591-15번지  해상,,,,,
2017,98,이상득,"그린에너지발
전","강원도 
태백시 
창죽동 
9-167외 
8필지 
화전동 
143-26외  1필지",풍력,28,2020-11-03,2021-03-31,용량변경
2020,82,이진우,"경주강동풍력
발전","경북  경주시  강동면  다산
리  산9,  산14,  산15,  산17
번지",풍력,12.6,2020-11-03,2024-08-31,양수인가
2020,83,이상득,"지앤이윈드파
워","강원도  정선군  화암면  몰
운리  산227  일원",풍력,20,2020-11-03,2024-03-31,
2020,84,김완호,"아리울태양광
발전","전북  새만금지구  농생명용
지  2공구  내  공유수면",태양광,15,2020-11-03,2023-04-30,양수인가
2020,85,김완호,"아리울태양광
발전","전북  새만금지구  농생명용
지  1-1  및  2공구  내  공유
수면,  전북  군산시  옥구읍 
어은리  1536,  오곡리  534,   
수산리  699번지,  전북  김
제시  진봉면  심포리 
1666-12번지",태양광,52,2020-11-03,2023-04-30,양수인가
2020,86,유승훈,"칠곡에코파크
(","경북  칠곡군  석적읍  중리 
443-11","연료전지
(NG)",19.8,2020-11-03,2022-03-31,양수인가
2020,87,신양우,첨단연료전지,"광주시  북구  삼소로270번
길  25(월출동)","신재생(연
료전지)",9.68,2020-11-03,2020-12-01,양수인가
