NO,"대표
자","상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
,,크,"3038번지(백수로3길  132-1)외 
공유수면  일원",,,,,
95,이오숙,동복에너지,"전남  화순군  동복면  유천리  산
22,  신율리  산5,  가수리  산102
번지  일원",풍력,93.15,2018-11-21,2021-12-31,
96,우종인,비에이치아이,"경남  함안군  군북면  여명로 
310","연료전지
[천연가스
(LNG)]",20,2018-11-21,2020-12-31,
97,전찬범,성월에너지,"경기도  안성시  금광면  신양복
리  434","연료전지
(LNG)",7.8,2018-11-21,2020-02-29,
98,류준우,"아산신재생복
합발전","충남  아산시  탕정면  명암리 
1305,  1330,  1331(코닝  정밀소
재공장  1,2단지  지붕위  및  주
차장)",태양광,6.56,2018-11-21,2021-10-31,
99,이홍열,"국제해양에너
지",전북  군산시  군산산단로  160,"연료전지
(LNG)",40,2018-11-21,2020-09-30,
100,강종식,완도해상풍력,"전남완도군완도읍망석리해상일
원(34°17‘03.37˝N,126°46'50.68˝
E/34°17'02.05˝N,126°43'11.76˝
E/34°16'36.09˝N,126°43'12.00˝
E/34°15'44.37˝N,126°43'43.74˝
E/34°15'45.13˝N,126°45'48.80˝
E/34°16'37.41˝N,126°46'50.90˝
E)",풍력(해상),148.5,2018-11-21,2022-11-30,
