NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
2020,107,신양우,"아이티파워나
주연료전지발
전소","전남  나주시  동수동 
405-5(나주혁신산단  부지 
내)","신재생(연
료전지)",19.96,2020-11-30,2022-02-28,
2020,108,조중장,"동춘천그린에
너지","강원도  춘천시  동산면  봉
명리  1099(동춘천  일반산
업단지  내)","연료전지
(LNG)",105.6,2020-11-30,2024-03-31,
2020,109,김병숙,한국서부발전,"전북  익산시  석암로  3길 
80(익산제2일반산업단지 
내)","연료전지
(LNG)",15,2020-11-30,2021-12-31,
2020,110,김병숙,한국서부발전,"전북  익산시  석암로  3길 
80(익산제2일반산업단지 
내)","연료전지
(LNG)",15,2020-11-30,2022-12-31,
2020,111,박일준,한국동서발전,"강원도  동해시  구미동  2번
지","연료전지
(LNG)",4,2020-11-30,2023-08-31,
2020,112,강민구,중흥에너지,"충남  아산시  둔포면  염작
리  92-28","연료전지
(LNG)",20,2020-11-30,2023-02-28,
2020,113,김진수,유에이치에프,"충남  아산시  둔포면  염작
리  92-28","연료전지
(LNG)",20,2020-11-30,2023-02-28,
2020,114,"함  스테
판  윤성","에스케이디앤
디","충북  충주시  대소원면  영
평리  757,  760","연료전지
(LNG)",39.9,2020-11-30,2023-01-31,
2020,115,이윤필,금양에코파크,"충북  보은군  삼승면  우진
리(보은산업단지  내)","연료전지
(LNG)",19.8,2020-11-30,2024-12-31,
