NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
,,,,"방림리  산442,  계촌리    산
1",,,,,
2016,172,최재영,하장풍력발전,"강원도  삼척시  하장면  한
소리  산60",풍력,4.6,2021-12-30,2023-12-31,사업준비기간연장
2019,73,이학수,아리풍력발전,"강원도  정선군  화암면  화
암리  산58,  산111,  산101, 
산115,  산116,  산145,  산
146,  산150,    산152,  산
169,  산170,  산171,  건천리 
산265,  임계면  덕암리  산
50-4",풍력,40,2021-12-30,2023-12-31,사업준비기간연장
2021,25,이상득,지앤디파워,"강원도  강릉시  강동면  임
곡리  산21,  산67,  산68,  산
194,  강동면  산성우리  산
90  일원",풍력,40,2021-12-30,2023-12-31,사업준비기간연장
2014,66,박일준,한국동서발전,"울산시  북구  대안동  산
288-1,  산79,  산78-1,    산
78",풍력,20,2021-12-31,2023-12-31,사업준비기간  연장
2015,6,김한욱,대명지이씨,"경남  산청군  신등면  율현
리  산166,  산169,  척지리 
산17",풍력,21,2021-12-31,2023-12-31,사업준비기간연장
