NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
,,,,리  보전호  공유수면  일원,상),3,,,
2022,84,박영실,오도해도리,"전남  고흥군  도덕면  오마
리  815-1번지  외  34필지",태양광,28.89,2022-09-21,2031-03-31,
2022,30,이상득,"그린에너지윈
드파워","강원도  영월군  북면  마차
리  산1-1,  영월읍  거운리 
914-1,  산209-1",풍력,48,2022-08-24,2024-06-30,용량증가  및  지번추가
2017,90,"함스테
판윤성","에스케이디앤
디","경북  의성군  옥산면  감계
리  산27번지(황학산)일원","신재생(풍
력)",99.2,2022-08-24,2023-07-31,용량증가
2017,65,김재종,동진풍력발전,"강원도  평창군  대관령면 
유천리  산1번지  일원",풍력,54,2022-08-24,2024-05-31,용량감소
2016,106,김기환,"영양제2풍력
발전","경북  영양군  석보면  삼의
리  산60번지  일원",풍력,42,2022-08-24,2023-12-31,"사업준비기간연장,용량감
소"
2017,92,구영임,"홍천율전풍력
발전","강원도  홍천군  내면  율전
리  산188-2,  산182,  산 
183,  산184,  산185번지",풍력,68.2,2022-08-24,2024-06-30,용량감소
2022,57,김정일,코오롱글로벌,"경북  군위군  삼국유사면 
화북리  1269-24,  1269-28",풍력,5.3,2022-08-24,2023-11-30,양수인가
2022,58,김정일,코오롱글로벌,"경북  군위군  삼국유사면 
화수리  산45-1,  산44",풍력,5.3,2022-08-24,2023-11-30,양수인가
2022,59,김정일,코오롱글로벌,"경북  군위군  삼국유사면 
화수리  산45-1,  산44",풍력,5.3,2022-08-24,2023-11-30,양수인가
2016,129,사장,한국동서발전,강원도  정선군  화암면  건,풍력,40,2022-08-24,2023-12-31,일부양도
