NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
,,,,"35°32`32.75``N  126°  9` 
7.59``E  35°32`53.52``N 
126°  9`39.37``E 
35°29`49.06``N   
126°14`48.61``E  35°32` 
2.83``N  126°13`17.62``E 
35°31`45.94``N 
126°14`30.36``E)",,,,,
2021,2,추정례,"신안대광해상
풍력","전남신안군임자면북서쪽공
유수면(35˚10`43.85``N,125˚
59`25.30``E/      35˚
07`57.18``N,  125˚
59`25.31``E  /      35˚
07`23.81``N,  126˚
00`07.16``E  /          35˚
07`25.82``N,  126˚
01`28.81``E  /  35˚
09`09.35``N,  126˚
04`48.84``E      /      35˚
10`51.78``N,  126˚",풍력(해상),400,2021-02-02,2026-12-31,
