NO,"대표
자","상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
150,,,병리  산62번지  외  11필지,,,,,
"2014-
100",장  옥,글로벌에너지,"경기도  양주시  남면  상수리  산
112-11,  산113","신재생(목
질계바이
오매스)",9.9,2018-12-04,2021-12-31,사업준비기간  연장
"2014-
102",장  옥,글로벌에너지,"경기도  양주시  남면  구암리 
7-1,  7-2,  9-9,  12,  13번지  일
원","신재생(목
질계바이
오매스)",9.9,2018-12-04,2021-12-31,사업준비기간연장
"2014-
101",장  옥,글로벌에너지,"경기도  양주시  남면  상수리  산
112-11","신재생(목
질계바이
오매스)",9.9,2018-12-04,2021-12-31,사업준비기간  연장
"2015-
151",국중양,영광풍력발전,"전남  영광군  백수읍  하사리,약
수리,  염산면  축동리,신성리,송
암리  일원",풍력,79.6,2018-12-04,2019-09-30,대표자변경
"2017-
2",백승정,"대구청정에너
지","대구시  달성군  유가면  비슬로
96길  67(금리40번지)","신재생(연
료전
지:NG)",60,2018-12-04,2019-12-31,사업준비기간연장
"2015-
72",김기환,"지에스풍력발
전","경북  영양군  영양읍  무창리  산
62번지  일원",풍력,59.4,2018-12-04,2015-10-31,상호변경
"2017-
9",유희상,신승에너지,"경기도  화성시  남양읍  매바위
로  570-10","신 승 에 너
지  소각장 
폐열",4.79,2018-12-04,2019-12-31,사업준비기간연장
"2017-
18",김기환,GS풍력발전,"경북  영양군  영양읍  무창리  산
62-36일원",풍력,24.15,2018-12-04,2018-12-31,"2018.8월  법인합병이
므로  법인번호정정,상
호변경"
2017-,공유덕,에너지워터,전남  고흥군  대서면  남정리,태양광,8,2018-12-04,2020-12-31,사업준비기간연장
