NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
,,,,"129°58′7.98″E)  WTG.21 
(35°27′21.99″N  130°2′
11.03″E)  /    WTG.14 
(35°26′27.91″N  130°3′6.9
0″E))",,,,,
2021,102,송상호,"태안그린에너
지","충남  태안군  고남면  장곡
리  783-1외  6필지,  안면읍 
중장리  2300-1외  13필지",태양광,40,2021-11-30,2023-07-31,
2021,103,"이상진,
차이우
장","씨지앤대산전
력","충남  서산시  대산읍  독곶 
2로  50","LNG  복합
화력",512,2021-11-30,2026-12-31,
2021,104,김회천,한국남동발전,"경남  고성군  하이면  덕호
리  889-6","액화천연
가스(LNG)",1120,2021-11-30,2026-10-31,
2021,105,이재규,태영건설,"전북  전주시  완산구  삼산
길  51-70","연료전지
(바이오가
스,  LNG)",19.64,2021-11-30,2023-12-31,
2021,106,이지영,"송산그린에너
지","경기  화성시  송산면  사강
리  256-2,  256-11","연료전지
(LNG)",19.8,2021-11-30,2023-10-31,
2021,107,권현철,케이팜에너지,"충남  아산시  둔포면  관대
리 
53-3,4,5,9,10,12,14,122-9","연료전지
(LNG)",40,2021-11-30,2024-12-31,
2021,108,김강학,낙월블루하트 전남  영광군  낙월면  안마,,풍력,354.4,2019-01-30,2022-12-31,양수인가
