NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
,,,,"``E 
지점11: 
37˚6 
` 
20.43``N 
126˚20 
` 
17.86 
``E    지점12:  37˚7  `  8.25``N 
126˚20  `  28.83  ``E)",,,,,
2019,77,정회걸,빛고을메트로,"광주시  동구  용산동  1-1외 
1필지","신재생(태
양광)",3.49,2019-07-19,2022-07-31,
2019,78,박병일,"영월그린에너
지","강원도  영월군  영월읍  팔
괴리  1271,  1282,  1286번
지","연 료 전 지
(LNG)",99.4,2019-07-19,2021-09-30,
2019,79,여운철,영월파워,"강원도  영월군  상동읍  천
평리  249번지  일원","연 료 전 지
(LNG)",20.1,2019-07-19,2023-12-31,
2019,80,김리하,천평에너지,"강원도  영월군  상동읍  천
평리  249번지  일원","연 료 전 지
(LNG)",10.2,2019-07-19,2023-12-31,
2019,81,김화준,"상동제일에너
지","강원도  영월군  상동읍  천
평리  249번지  일원","연 료 전 지
(LNG)",20.1,2019-07-19,2023-12-31,
2019,82,이현호,옥천연료전지,"충북  옥천군  옥천읍  옥천
농공길  53-10","연 료 전 지
(LNG)",20,2019-07-19,2021-12-31,
2019,83,"함  스테
판  윤성","에스케이디앤
디","충북  음성군  금왕읍  오선
리  524-2,  534-2","연 료 전 지
(LNG)",19.8,2019-07-19,2021-12-31,
2019,84,"함  스테
판  윤성","에스케이디앤
디","충북  충주시  대소원면  영
평리  744","연 료 전 지
(LNG)",60,2019-07-19,2022-12-31,
2019,85,김병숙,한국서부발전,"경기도  화성시  남양읍  북
양리  산51번지","연 료 전 지
(LNG)",19.8,2019-07-19,2020-12-31,양수인가
2019,86,최돈춘,,파주에너지서 서울시  강동구  아리수로87 신재생(연,,19.8,2019-07-19,2020-08-31,양수인가
