NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
2020,91,박주원,윈드웨이,"충남당진시난지도일원공유
수면(사업구역좌표(유효범
위內)
  37˚  03`  41``N    126˚  23` 
38``E,  37˚  04`  36``N    126˚ 
25`  20``E,    37˚  04`  28``N   
126˚  25`  37``E,    37˚  04` 
11``N    126˚  25`  37``E,    37
˚  03`  16``N    126˚  23` 
22``E)",해상풍력,210,2020-11-30,2024-08-31,
2020,92,"함스테
판윤성","에스케이디앤
디","경북  청도군  운문면  봉하
리  산  195일원",풍력,30,2020-11-30,2024-08-31,
2020,93,주태경,엠에스피,"전남  영암군  미암면  호포
리  1235  일원","태양광(염
해  간척
지)",30,2020-11-30,2026-12-31,
2020,94,조진기,"피에스에스1
호","전남  영암군  미암면  호포
리  1428  일원","태양광(염
해  간척
지)",20,2020-11-30,2026-12-31,
2020,95,김선웅,"창원클린에너
지","경남  창원시  성산구  응남
동  46-1","연료전지
(LNG)",105.6,2020-11-30,2022-09-30,양수인가
2020,96,서지만,,군산육상태양 전북  군산시  오식도동  앞  태양광,,90,2020-11-30,2022-03-31,양수인가
