NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
,,,,일원,,,,,
2021,6,유정준,"에스케이이엔
에스","전남신안군자은도북서쪽공
유수면
(34°59'33.78""N125°47'4.12
""E34°59'41.31""N125°50'45.
24""E34°58'36.36""N125°46'
3.90""E34°58'47.02""N125°5
1'49.90""E34°57'26.98""N125
°45'43.32""E34°57'38.91""N1
25°52'16.20""E34°56'20.01""
N125°45'59.22""E34°56'31.1
6""N125°52'6.07""E34°55'21.
34""N125°46'52.14""E34°55'
29.01""N125°51'18.00""E)",풍력(해상),399,2021-02-02,2026-12-31,
2021,7,유정준,"에스케이이엔
에스","전남  신안군  자은도  서쪽 
공유수면(34°54’34.74”  N 
125°44’42.30”  E 
34°54’44.68”    N",풍력(해상),399,2021-02-02,2026-12-31,
