NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
,,,,"리  산152,    산153-1,  산
166,  산185,  산186,  산189, 
산195",,,,,
2016,100,조우진,영월에코윈드,"강원도  영월군  상동읍  구
래리  산1-35번지,  산1-37
번지  일원",풍력,42,2021-09-17,2021-12-31,소재지변경
2016,177,안영숙,더윈드파워,"경북  포항시  남구  대송면 
산여리  산8,  산33-1",풍력,60,2021-09-17,2022-12-31,대표자변경
2017,73,최성권,해파랑에너지,"경북  영덕군  영해면  괴시
리  산66-1,  산67-1,  산66-5",풍력,16.8,2021-09-17,2023-09-30,사업준비기간연장
2018,1,이종은,"영덕그린에너
지","경북  영덕군  지품면  삼화
리  산155","바이오에
너지【바
이오매스
(wood 
chip)】",9.9,2021-09-17,2022-10-31,사업준비기간연장
2019,1,변주섭,평화에너지,"강원도  양구군  방산면  건
솔리  산1,  산5,  천미리  산
1-1  산12,  산42,  송현리  산
1,  산27,  고방산리    산1, 
산3,  사태리  산1,  동면  비
아리  산1,  산2,  산3,  월운",풍력,90,2021-09-17,2023-10-31,사업준비기간연장
