NO,"대표
자","상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
,,,"E126˚18'44.34"",N35˚
12'12.24""E126˚14'55.97"",    N 
35˚13'51.17""  E      1126˚
14'48.59"",    N      35˚13'12.03"" 
E  126˚17'55.00"",  N  35˚
13'05.38""  E      126˚17'57.65"", 
N  35˚13'02.70""  E  126˚
18'01.32"",    N  35˚12'43.68""  E 
126˚17'58.35"",  N      35˚
12'40.89""  E  126˚17'56.27"",  N 
35˚12'38.08""  E  126˚17'57.18"",   
  N  35˚12'35.96""  E  126˚
18'00.30"",  N  35˚12'33.40""  E     
126˚18'14.74"")",,,,,
82,이점영,"씨더블유엔알
이","전남영광군낙월면송이리,염산
면두우리공유수면일원(N35˚
16'53.10""E126˚16'25.95“
,N35˚14'51.36""E126˚
16'27.03"",N35˚14'48.96""E126˚
10'13.00"",N35˚16'50.69""E126˚
10'11.76"")",풍력,151.2,2018-09-27,2021-09-30,
83,장진출,청암에너지,"경북  의성군  의성읍  철파리  산
58-1일원(21필지)",태양광,40,2018-09-27,2021-08-31,
84,임병용,지에스건설,"전남  여수시  율촌면  신풍리 
13-56외  전면  애양원  공유수","신재생(수
상  태양",34,2018-09-27,2021-04-30,
