NO,"대표
자","상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
"2017-
64",서준열,"더블류티이목
포","전남  목포시  대양동  797번지
(목포대양산단A14블록)",SRF  전소,29.9,2018-05-08,2020-12-31,"사업단계구분,사업준비
기간연장"
"2017-
64",서준열,"더블류티이목
포","전남  목포시  대양동  797번지
(목포대양산단A14블록)","플라즈마
가스화",7.9,2018-05-08,2021-03-31,"사업단계구분,사업준비
기간연장"
"2017-
44",강형규,진주산업,"충북  청주시  청원군  북이면  신
대석성로  253-4","고형연료(
SRF), 
산업폐기
물",3.383,2018-05-08,2020-04-30,"대표자변경,준비기간연
장"
"2015-
178",최향예,대주에너지,"경북  경주시  산내면  내일리 
763-1,산421-3번지",풍력,8,2018-05-08,2020-12-31,사업준비기간연장
"2016-
164",오봉호,"정욱리씨이클
링","충북  음성군  맹동면  초금로 
415-14외  2필지","신재생(성
형SRF  등)",9.9.,2018-05-08,2021-12-31,사업준비기간연장
34,이재호,쏠팩,"충남태안군안면읍중장리57-20
외198필지",태양광,330,2018-05-28,2021-05-31,
35,정진철,당진에코파워,"충남  당진시  석문면  교로3리 
1026외  203필지",태양광,9.798,2018-05-28,2021-04-30,
36,김태중,성원에너지,"전북  익산시  금마면  동고도리 
산  34-3외  22개필지",태양광,9.515,2018-05-28,2019-05-31,양수인가
37,"김장수, 
김흥식",동성,"강원도  영월군  상동읍  덕구리 
산10-14일원",풍력,30.4,2018-05-28,2021-06-30,
38,정해주,대관령풍력,"충북  제천시  백운면  운학리  산
285-1번지",풍력,6.9,2018-05-28,2020-11-30,
39,정의헌,대사리풍력,"전남  무안군  해제면  대사리  산
3번지  일원",풍력,14.4,2018-05-28,2021-10-31,
40,박근식,대한그린에너,경북  영덕군  강구면  상직리  산,풍력,46,2018-05-28,2022-02-28,
