NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
,,,,".25""E,
34°39'9.85""N/128°7'29.50""
E,34°39'31.60""N/128°7'51.
74""E)",,,,,
2019,109 김기열,,"에이치에스에
너지","전남  광양시  광양읍  초남
리  762-4","연 료 전 지
(NG)",34.8,2020-05-26,2022-05-31,공급전압변경
2020,49,김인배,매월해상풍력,"전남해남군화원면매월리인
근
공
유
수
면
( N o . 0 1 ( 3 4 ° 4 5 ' 0 9 . 4 6 "" N       
1 2 6 ° 1 6 ' 4 3 . 4 2 "" E )
, 
N o . 0 2 ( 3 4 ° 4 2 ' 5 1 . 3 1 "" N 
1 2 6 ° 1 6 ' 0 2 . 3 4 "" E )
N o . 0 3 ( 3 4 ° 4 3 ' 1 8 . 6 6 "" N 
1 2 6 ° 1 5 ' 2 3 . 9 8 "" E )
, 
N o . 0 4 ( 3 4 ° 4 3 ' 4 6 . 1 2 "" N     
1 2 6 ° 1 5 ' 0 4 . 0 4 "" E )
, 
N o . 0 5 ( 3 4 ° 4 4 ' 1 3 . 8 1 "" N 
1 2 6 ° 1 5 ' 2 3 . 1 7 "" E )
N o . 0 6 ( 3 4 ° 4 4 ' 4 1 . 6 0 "" N 
126°15'55.71""E)",",     
풍력(해상)
,",96,2020-05-26,2023-12-31,
2020,50,박일준,한국동서발전,"강원도  태백시  원동  산97, 
산13-1일원",풍력,28.8,2020-05-26,2020-12-31,"일부의  양수(태백  가덕산
풍력으로부터)"
2018,104 홍동표,,"태백가덕산풍
력발전","강원도  태백시  원동  산97, 
산13-1일원",풍력,43.2,2020-05-26,2020-12-31,"일부의  양도(태백  원동풍
력)로  인한  용량변경"
2020,51,김창휘,,안좌스마트팜 전남  신안군  안좌면  내호,태양광,204,2020-05-26,2023-04-30,"양수인가,사업준비기간"
