NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
,,,,"시  하장면  토산리,  갈전리, 
추동리,  둔전리,  역둔리,   
공전리  일원",,,,,
2017,12,최용선,"글로벌윈드에
너지","강원도  양구군  해안면  오
유리  산1임  일원",풍력,90,2021-12-29,2022-12-31,사업준비기간연장
2017,26,최용선,"삼척  오두2풍
력  발전사업","강원도  삼척시  하장면  추
동강원도  삼척시  하장면 
추동리  산95,  산97,  둔전리 
산13-1번지  일대",풍력,57.6,2021-12-29,2023-12-31,사업준비기간연장
2020,132,"김호석,
김영중","대성에코에너
지센터","충남  당진시  석문면  장고
항리  1421","대성에코
에너지센
터  폐기물
소각  잉여
열(증기)",8,2021-12-29,2022-12-31,사업준비기간연장
2015,78,김영길,지웰,"경북  영천시  고경면  상계
로  178-18","신재생(비
성형  SRF)",8,2021-12-30,2022-12-31,사업준비기간  연장
2015,164,오범준,포승퓨얼셀,"경기도  평택시  포승읍  원
정리  1173-7","신재생(연
료전지)",37.5,2021-12-30,2023-12-31,사업준비기간연장
2016,59,김화준,대화풍력,"강원도  평창군  대화면  개
수리  산340,  산337,  산618, 
상암미리  산331,  방림면",풍력,99,2021-12-30,2022-12-31,사업준비기간  연장
