NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
,,,,리  산227번지  등지,,,,,
2018,41,정광진,천지에너지,"전남  곡성군  죽곡면  신풍
리  산5,  산1-1,  산1-3,  산
69,  산21,  산22,  산23  봉정
리  산152,    산153-1,  산
166,  산185,  산186,  산189, 
산195",풍력,60,2022-03-28,2023-12-31,주식취득
2019,37,이원옥,"신안어의풍력
발전","전남신안군지도읍어의리어
의도북북서측공유수면(126˚
9`35.75``E    ④35˚9`39.91``N   
  126˚10`46.72``E    ⑤35˚
9`53.50``N      126˚
11`57.69``E  ⑥35˚
9`25.02``N  126˚11`15.92``E   
⑦35˚9`29.52``N  126˚
11`39.55``E      (①:  3MW, 
단지  내  좌상단))",풍력(해상),99,2022-03-28,2026-12-31,주식취득
2022,28,이사영,동도에너지,"강원도  태백시  동점동  동
점산업단지  블록  3-5(태백
시  동점산업단지내)","연료전지
(LNG)",21,2022-03-28,2023-06-30,
2022,29,정재훈,,한국수력원자 경북  경주시  강동면  유금,연료전지,13.2,2022-03-28,2023-10-31,
