NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
,,,,"125°54'54.42""   
35°00'53.25"" 
125°55'05.60"" 
35°00'03.22""  125° 
55'40.79""    35°00'05.17"" 
125°59'28.53"" 
35°02'13.59"" 
125°58'26.07""   
35°03'14.23"" 
125°57'22.96"")",,,,,
2021,55,이상득,"지앤이윈드파
워","강원도  삼척시  원덕읍  산
양리  산1",풍력,40,2021-06-29,2024-06-30,
2021,56,김영신,"한국신림풍력
발전","경북  울진군  울진읍  신림
리  산234-1번지  일원",풍력,36,2021-06-29,2025-05-31,
2021,57,최동호,더윈에너지,"경북  포항시  남구  장기면 
산서리  산255번지,  경주시 
양북면  권이리  산2,  3번지 
일원",풍력,60,2021-06-29,2024-06-30,
2021,58,김영문,한국동서발전,"울산광역시  남구  용잠로 
623",LNG,1000,2021-06-29,2030-09-30,
2021,59,김호빈,한국중부발전,충남  보령시  오천면  오천,LNG,500,2021-06-29,2025-12-31,
