NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
,,,,"3 5 ° 2 0 ' 1 3 . 3 2 "" N   
125°50'6.78""E 
3 5 ° 2 1 ' 3 5 . 5 4 "" N   
125°51'3.01""E)",P10,,,,
2020,55,"이지민,
최우진","부산해상풍력
발전","부산사하구다대동산145지
선남쪽해상(35°00'31.75""   
N  128°57'40.64""    E 
35°00'24.68""  N     
128°58'27.64""    E 
35°00'47.05""      N 
129°00'19.18""    E     
35°01'52.42""  N 
128°59'34.95""        E 
35°01'45.35"" 
N129°00'21.97""    E)",풍력(해상),96,2020-07-27,2023-10-31,
2020,56,하경호,안마해상풍력,"전남영광군낙월면안마군도
서측5km앞해상(P1       
35°20'13.32""N       
125°50'6.78""E  P2       
35°20'13.32""N   
125°58'40.09""E      P3 
35°18'20.99""N",풍력(해상),304,2020-07-27,2024-06-30,
