NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
,,,,,"림바이오
매스(목재
펠릿,  목
재칩))",,,,
2018,80,양승주,동국S&C,"강원도  강릉시  왕산면  대
기리  산3번지  일원",풍력,84,2022-08-29,2024-08-31,사업준비기간연장
2015,115,김재종,한일풍력발전,"강원도  철원군  근남면  육
단리  산88-1번지  일원",풍력,39,2022-08-30,2024-08-31,사업준비기간  연장
2016,176,이재규,"비학윈드캠퍼
스","경북  포항시  북구  기북면 
탑정리  산33  외  17필지",풍력,90,2022-08-31,2024-08-31,사업준비기간  연장
2016,175,황의정,포항에코랜드,"경북  포항시  북구  신광면 
기일리  산150-1외  9필지",풍력,96.6,2022-08-31,2024-08-31,사업준비기간  연장
2018,2,조여진,케이에스파워,"경북  포항시  남구  오천읍 
진전리  산31,  산27,  산6-1,
장기면  산서리  산335번지",풍력,60,2022-08-31,2023-02-28,사업준비기간연장
2015,98,양승주,동국에스앤씨,"경북  포항시  남구  오천읍 
진전리  산88-1번지",풍력,7.5,2022-08-31,2023-02-28,사업준비기간연장
2020,5,김성훈,"에스에이치파
워","경북  포항시  북구  청하면
(신흥리  산97,  산104-3),금
장리(산9,  산  77,  산82,  산
91,  산102)",풍력,70,2022-08-31,2024-08-31,사업준비기간연장
2018,89,안효중,테크노그린,전북  완주군  봉동읍  장구,연료전지,14.4,2022-09-01,2024-09-30,사업준비기간연장
