NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
,,,,"2 3 ’ 1 1 . 2 9 ”
E 3 5 ˚
2 1 ’ 5 0 . 8 7 “ ` N 1 2 6 ˚
2 2 ’ 4 9 . 2 4 ”
E 3 5 ˚
2 0 ’ 3 6 . 6 4 “ ` N 1 2 6 ˚
2 2 ’ 4 9 . 7 1 ”
E 3 5 ˚
2 0 ’ 5 0 . 0 8 “ ` N 1 2 6 ˚
2 2 ’ 2 6 . 1 2 ”
E 3 5 ˚
2 1 ’ 1 8 . 5 6 “ ` N 1 2 6 ˚
2 1 ’ 5 2 . 4 4 ”
E 3 5 ˚
21’50.90“`N126˚21’29.24”E)",,,,,
2022,51,정세호,서하에너지,"강원도  평창군  봉평면  진
조리  산80-68",풍력,10,2022-08-24,2025-11-30,
2022,52,박진관,"에이제이해밀
솔라","전남  고흥군  포두면  송산
리  1655-1  등  일원",태양광,90,2022-08-24,2025-04-30,
2019,69,정재훈,"한국수력원자
력","전북  새만금  방조제  내측 
공유수면(02지구,  03지구, 
04지구)","태양광(수
상)",1800,2022-08-24,2024-12-31,일부양도
2022,53,최한수,"새만금솔라파
워","전북  새만금  방조제  내측 
공유수면(02지구)","태양광(수
상)",300,2022-08-24,2024-12-31,일부양수
2022,54,권오정,"부산에코델타
에너지","부산시  강서구  에코델타시
티  집단에너지  부지내(명","연료전지
(LNG)",105.6,2022-08-24,2026-06-30,
