NO,"대표
자","상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","허가및변
경일","사업
준비기간","기타
(변경사항)"
"2015-
13",양승주,동국에스앤씨,"경남  양산시  상북면  내석리  산
237,  산238,  산239",풍력,9,2018-01-08,2019-03-31,사업준비기간  연장
"2015-
14",정재영,"대우조선해양
건설","경남  산청군  금서면  특리  산
79-1,  산79-2,  자혜리    산7-1일
대",풍력,20,2018-01-12,2019-03-31,사업준비기간  연장
1,이종은,영덕그린에너,경북  영덕군  지품면  삼화리  산 바이오에,,9.9,2018-01-23,2019-10-31,
