NO,,대표자,"상 호
(사업자)",발전소 위치,원동력,"용량
(MW)","*허가일
*변경일","사업
준비기간","기타
(변경사항)"
,,,,485-9,,,,,
2016,43,이인규,영산강발전일,"전남  나주시  영산동  664-1
번지  등  영산강  저류지",태양광,10,2022-04-28,2022-11-30,사업준비기간  연장
2016,44,이인규,영산강발전이,"전남  나주시  영산동  664-1
번지  등  영산강  저류지",태양광,10,2022-04-28,2022-11-30,사업준비기간  연장
2016,45,이인규,영산강발전삼,"전남  나주시  영산동  664-1
번지  등  영산강  저류지",태양광,5,2022-04-28,2022-11-30,사업준비기간  연장
2016,46,이인규,영산강발전사,"전남  나주시  영산동  664-1
번지  등  영산강  저류지",태양광,5,2022-04-28,2022-11-30,사업준비기간  연장
2015,127,사장,한수원,"경북  울진군  북면  울진북
로  2040",원자력,2800,2022-05-24,2023-09-30,사업준비기간연장
2019,63,강우순,빅솔라,"강원도  횡성군  우천면  문
암리  117,  118,  119-3,산
37-12,산37-14","연료전지
(NG)",10.12,2022-05-24,2024-05-31,사업준비기간연장
2019,65,천병권,코엠퓨얼셀,"강원도  횡성군  우천면  문
암리  117,  118,    119-3,산
37-12,  산37-14","연료전지
(NG)",10.12,2022-05-24,2024-05-31,사업준비기간연장
2020,64,석인경,횡성연료전지,"강원도  횡성군  우천면  문
암리  117,  118,  119-3,  산
37-12,  산37-14","연료전지
(NG)",10.12,2022-05-24,2024-05-31,사업준비기간연장
2017,65,김재종,동진풍력발전,"강원도  평창군  대관령면 
유천리  산1번지  일원",풍력,147,2022-05-25,2024-05-31,사업준비기간연장
